stop_name,lng,lat
FLAT WANGSA MAJU SEK. 2 (UTARA),101.73541,3.2118
FLAT WANGSA MAJU SEK. 2 (BARAT),101.73705,3.21065
FLAT WANGSA MAJU SEK. 2 (BARAT),101.73694,3.21065
HOSPITAL TENTERA TUANKU MIZAN (UTARA),101.73795,3.20915
HOSPITAL TENTERA TUANKU MIZAN (UTARA),101.73815,3.20857
DATARAN DWISTASIK,101.71166,3.09906
HOSPITAL TENTERA TUANKU MIZAN (SELATAN),101.73848,3.2071
HOSPITAL TENTERA TUANKU MIZAN (SELATAN),101.73837,3.20698
FLAT WANGSA MAJU SEK. 2 (SELATAN),101.73736,3.2058
FLAT WANGSA MAJU SEK. 2 (SELATAN),101.73738,3.2059
SK WANGSA MAJU SEK. 2,101.73375,3.20786
SK WANGSA MAJU SEK. 3,101.7333,3.20801
DESA SETAPAK,101.7349,3.20672
DESA SETAPAK,101.73517,3.20614
DATARAN WANGSA (UTARA),101.74381,3.20982
DATARAN WANGSA (UTARA),101.74353,3.20993
DATARAN WANGSA (TIMUR),101.74233,3.20772
DATARAN WANGSA (TIMUR),101.74225,3.20797
SUB URBAN KL,101.74509,3.20093
SUB URBAN KL,101.74518,3.20079
FLAT WANGSA MAJU SEK. 4 (BARAT),101.7432,3.20329
FLAT WANGSA MAJU SEK. 4 (BARAT),101.74331,3.20351
SK WANGSA MAJU (BARAT),101.74162,3.20535
SK WANGSA MAJU (BARAT),101.74238,3.20473
SK WANGSA MAJU (TIMUR),101.73978,3.20537
SK WANGSA MAJU (TIMUR),101.73967,3.20533
FLAT WANGSA MAJU SEK. 4 (TIMUR),101.74065,3.20341
FLAT WANGSA MAJU SEK. 4 (TIMUR),101.74059,3.20334
FLAT WANGSA MAJU SEK. 4 (SELATAN),101.74206,3.20155
FLAT WANGSA MAJU SEK. 4 (SELATAN),101.74203,3.20138
KG SRI DELIMA,101.66659,3.19916
MADRASAH AL-IKTISAMIAH,101.72405,3.22354
TMN MELATI,101.72286,3.22159
SK DATUK KERAMAT 1,101.73003,3.16657
KG DATUK KERAMAT,101.7277,3.16828
SA603 - U5 (BARAT),101.5436,3.14606
KG DATUK KERAMAT,101.72775,3.16843
UNIVERSITI TEKNOLOGI MALAYSIA (UTARA),101.7198,3.17443
UNIVERSITI TEKNOLOGI MALAYSIA (UTARA),101.71965,3.17461
UNIVERSITI TEKNOLOGI MALAYSIA (SELATAN),101.71835,3.17247
UNIVERSITI TEKNOLOGI MALAYSIA (SELATAN),101.71831,3.17269
WISMA JUPEM,101.71653,3.17002
WISMA JUPEM,101.71695,3.17094
MENARA CELCOM,101.71548,3.16863
MENARA CELCOM,101.71507,3.16856
JALAN 1/76,101.7370667,3.1567111
TMN BATU (UTARA),101.66525,3.20001
WICKHAM RESIDENCE,101.73691,3.15562
DESA PANDAN APARTMENT (BARAT),101.74029,3.14835
MUTIARA UPPER EAST AMPANG CONDOMINIUM,101.73779,3.15232
DESA PANDAN CENTRAL (TENGAH),101.73819,3.14643
JBT PERTAHANAN AWAM MALAYSIA,101.72187,3.17556
JBT PERTAHANAN AWAM MALAYSIA,101.72185,3.17546
MINDEF SQUARE,101.72314,3.1749
GURNEY HEIGHT (BLOK A),101.72902,3.17022
GURNEY HEIGHT (BLOK A),101.72886,3.17012
GURNEY HEIGHT (BLOK C),101.72876,3.16969
DESA PANDAN APARTMENT (UTARA),101.73709,3.153
FLAT DESA PANDAN (TIMUR),101.73313,3.14451
PUSAT PERDAGANGAN KG. PANDAN,101.73075,3.14431
PUSAT PERDAGANGAN KG. PANDAN,101.7313,3.14457
KELAB ROYAL SELANGOR,101.72918,3.14438
SK TMN MALURI,101.72789,3.14268
SK TMN MALURI,101.72786,3.14297
SMK AMINUDIN BAKI (UTARA),101.72746,3.14136
SMK AMINUDIN BAKI (UTARA),101.72711,3.14103
KOMPLEKS BELIA & SUKAN,101.72623,3.13869
KOMPLEKS BELIA & SUKAN,101.72632,3.13838
VILLA U-THANT APARTMENT,101.73577,3.14812
DESA PANDAN APARTMENT (TIMUR),101.73618,3.15161
KOMPLEKS PERUMAHAN KAKITANGAN AWAM & ROYAL SELANGOR POLO CLUB,101.73668,3.15365
KOMPLEKS PERUMAHAN KAKITANGAN AWAM & ROYAL SELANGOR POLO CLUB,101.73689,3.15357
VILLA AMAN CONDOMINIUM,101.74065,3.15946
